slug,name,city,state,address,full_address
zaragoza,Mister Car Wash Zaragoza,El Paso,TX,3516 N Zaragoza Rd,"3516 N Zaragoza Rd, El Paso, TX"
vista-del-sol,Mister Car Wash Vista Del Sol,El Paso,TX,11184 Vista Del Sol,"11184 Vista Del Sol, El Paso, TX"
montwood,Mister Car Wash Montwood,El Paso,TX,12120 Montwood,"12120 Montwood, El Paso, TX"
north-loop,Mister Car Wash North Loop,El Paso,TX,8835 North Loop,"8835 North Loop, El Paso, TX"
george-dieter,Mister Car Wash George Dieter,El Paso,TX,1482 George Dieter,"1482 George Dieter, El Paso, TX"
alameda,Mister Car Wash Alameda,El Paso,TX,8139 Alameda Ave,"8139 Alameda Ave, El Paso, TX"
cielo-vista,Mister Car Wash Cielo Vista,El Paso,TX,8857 Gateway West,"8857 Gateway West, El Paso, TX"
montana,Mister Car Wash Montana,El Paso,TX,6365 Montana,"6365 Montana, El Paso, TX"
dyer,Mister Car Wash Dyer,El Paso,TX,9811 Dyer,"9811 Dyer, El Paso, TX"
hondo-pass,Mister Car Wash Hondo Pass,El Paso,TX,8950 Dyer St,"8950 Dyer St, El Paso, TX"
coronado,Mister Car Wash Coronado,El Paso,TX,6237 N Mesa,"6237 N Mesa, El Paso, TX"
sunland-park,Mister Car Wash Sunland Park,El Paso,TX,965 Sunland Park Dr,"965 Sunland Park Dr, El Paso, TX"
desert-trail,Mister Car Wash Desert Trail,El Paso,TX,7373 N Mesa,"7373 N Mesa, El Paso, TX"
osborne,Mister Car Wash Osborne,El Paso,TX,4800 Osborne Drive,"4800 Osborne Drive, El Paso, TX"
paseo-del-norte,Mister Car Wash Paseo Del Norte,El Paso,TX,7820 Paseo Del Norte Blvd,"7820 Paseo Del Norte Blvd, El Paso, TX"
syracuse,Mister Car Wash Syracuse,Syracuse,UT,1632 South 3000 W,"1632 South 3000 W, Syracuse, UT"
hwy-89,Mister Car Wash Hwy 89,Salt Lake City,UT,4181 S State St,"4181 S State St, Salt Lake City, UT"
cherry-hill,Mister Car Wash Cherry Hill,Orem,UT,1408 State St,"1408 State St, Orem, UT"
kaysville,Mister Car Wash Kaysville,Kaysville,UT,165 West 200 North,"165 West 200 North, Kaysville, UT"
vineyard,Mister Car Wash Vineyard,Orem,UT,221 N Geneva Rd,"221 N Geneva Rd, Orem, UT"
redwood,Mister Car Wash Redwood,Taylorsville,UT,4681 S Redwood Rd,"4681 S Redwood Rd, Taylorsville, UT"
south-salt-lake,Mister Car Wash South Salt Lake,Salt Lake City,UT,1478 S 300 W,"1478 S 300 W, Salt Lake City, UT"
foothills,Mister Car Wash Foothills,Salt Lake City,UT,1635 Foothill Dr,"1635 Foothill Dr, Salt Lake City, UT"
washington-2,Mister Car Wash Washington-2,Ogden,UT,1721 S Washington Blvd,"1721 S Washington Blvd, Ogden, UT"
layton,Mister Car Wash Layton,Layton,UT,1182 N Main St,"1182 N Main St, Layton, UT"
bountiful,Mister Car Wash Bountiful,Bountiful,UT,305 W 500 S,"305 W 500 S, Bountiful, UT"
park-city,Mister Car Wash Park City,Park City,UT,6515 N Hwy 224,"6515 N Hwy 224, Park City, UT"
millcreek,Mister Car Wash Millcreek,Salt Lake City,UT,1990 E 3300 S,"1990 E 3300 S, Salt Lake City, UT"
west-valley,Mister Car Wash West Valley,West Valley City,UT,2055 W 3500 S,"2055 W 3500 S, West Valley City, UT"
taylorsville,Mister Car Wash Taylorsville,Salt Lake City,UT,3856 W 5400 S,"3856 W 5400 S, Salt Lake City, UT"
cottonwood,Mister Car Wash Cottonwood,Cottonwood Heights,UT,2228 E Fort Union Blvd,"2228 E Fort Union Blvd, Cottonwood Heights, UT"
highlands,Mister Car Wash Highlands,West Jordan,UT,5512 W 7800 South,"5512 W 7800 South, West Jordan, UT"
west-jordan,Mister Car Wash West Jordan,West Jordan,UT,1377 W 7800 South,"1377 W 7800 South, West Jordan, UT"
sandy,Mister Car Wash Sandy,Sandy,UT,9534 South Highland Drive,"9534 South Highland Drive, Sandy, UT"
south-jordan,Mister Car Wash South Jordan,South Jordan,UT,3497 W South Jordan Pkwy,"3497 W South Jordan Pkwy, South Jordan, UT"
anthem,Mister Car Wash Anthem,Herriman,UT,5153 W Anthem Park Blvd,"5153 W Anthem Park Blvd, Herriman, UT"
